strategy,direction,opened_at,closed_at,entry,exit,qty,reason,gross_pnl,fees,net_pnl,r_multiple,balance_after,tier,fib_zone,mode,rr
ICT,LONG,2020-03-10 11:27:00-04:00,2020-03-10 11:30:00-04:00,8001.2,7972.793940369999,2.811,SL,-79.84943361993147,0.6731442073276013,-80.52257782725908,-1.0227842466208037,9536.68017725533,1,ote,1m,2.2509749352479136
ICT,LONG,2020-03-10 11:34:00-04:00,2020-03-10 11:35:00-04:00,7969.3,7957.632798465001,8.463,SL,-98.73952659070117,2.021350786468186,-100.76087737716936,-1.0565028165874475,9435.91929987816,1,ote,1m,1.9433327713344903
ICT,LONG,2020-03-10 11:55:00-04:00,2020-03-10 12:10:00-04:00,7991.2,8084.4,2.509,TP,233.83879999999954,0.403336804,233.43546319599955,5.4691005067070275,9669.35476307416,1,ote,1m,1.9302452953593905
ICT,SHORT,2020-03-13 03:34:00-04:00,2020-03-13 03:35:00-04:00,7542.5,7560.11418681,4.108,SL,-72.3590794154813,0.9309848815883095,-73.29006429706962,-1.0350781549144923,9596.06469877709,1,ote,1m,2.6597326671255614
ICT,SHORT,2020-03-13 04:02:00-04:00,2020-03-13 04:02:00-04:00,7583.5,7592.563109175001,11.051,SL,-100.15641949293655,2.5161608833898588,-102.67258037632641,-1.0699367118309948,9493.392118400765,1,ote,1m,2.141993435826586
ICT,LONG,2020-03-16 09:47:00-04:00,2020-03-16 09:47:00-04:00,7080.3,7545.569202675,12.568,SL,5847.503339219401,2.786506378784388,5844.716832840617,0.9987135912992942,15338.108951241382,2,equilibrium,1m,1.4430396504931036
ICT,SHORT,2020-03-19 04:12:00-04:00,2020-03-19 04:13:00-04:00,7182.6,7166.0,19.708,TP,327.1528000000071,2.827822088,324.3249779120071,2.1145265078510165,15662.433929153389,2,equilibrium,1m,2.132963277054112
ICT,LONG,2020-03-19 09:39:00-04:00,2020-03-19 09:40:00-04:00,7071.0,7060.37596355,15.249,SL,-162.00593182604922,3.2315302513634796,-165.23746207741272,-1.0550047677218608,15497.196467075975,2,equilibrium,1m,2.2977314769741
ICT,SHORT,2020-03-30 05:28:00-04:00,2020-03-30 05:37:00-04:00,7604.8,7615.38555024,15.186,SL,-160.75216594463961,3.4678098273188933,-164.2199757719585,-1.0596881811505645,15332.976491304016,2,equilibrium,1m,2.0578551269991556
ICT,LONG,2020-04-08 03:49:00-04:00,2020-04-08 03:51:00-04:00,8043.6,8061.1,11.578,TP,202.61499999999998,1.864602166,200.75039783399998,1.3092326104683836,15533.726889138015,2,equilibrium,1m,1.3213929747197952
ICT,LONG,2020-04-08 04:11:00-04:00,2020-04-08 04:16:00-04:00,8040.4,8030.158072020001,15.786,SL,-161.6790750922605,3.804539050498154,-165.48361414275865,-1.0652956324377145,15368.243274995257,2,equilibrium,1m,2.1035730254870275
ICT,LONG,2020-04-09 04:44:00-04:00,2020-04-09 04:53:00-04:00,8193.0,8182.0978746499995,14.646,SL,-159.67252787610676,3.5966468894424777,-163.26917476554925,-1.0623937203367049,15204.974100229707,2,equilibrium,1m,1.5248260745258173
ICT,LONG,2020-04-09 04:57:00-04:00,2020-04-09 05:10:00-04:00,8187.7,8175.103524384999,12.476,SL,-157.15362977274748,3.0613492834045455,-160.21497905615203,-1.0536733498107003,15044.759121173554,2,equilibrium,1m,1.7476636280840088
ICT,LONG,2020-04-15 05:10:00-04:00,2020-04-15 05:25:00-04:00,8559.5,8580.4,12.075,TP,252.3674999999956,2.069642925,250.2978570749956,1.6636783980096521,15295.05697824855,2,equilibrium,1m,1.6774348890405932
ICT,LONG,2020-04-17 09:40:00-04:00,2020-04-17 09:41:00-04:00,8797.2,8774.564049859999,6.891,SL,-155.98433241475394,1.815525469351705,-157.79985788410565,-1.031635225208441,15137.257120364446,1,deep_discount,1m,2.8652262447512227
ICT,LONG,2020-04-17 09:43:00-04:00,2020-04-17 10:45:00-04:00,8772.2,8756.375559330001,5.082,SL,-80.41980748493798,1.3358012158503012,-81.75560870078827,-1.0455389872477607,15055.501511663657,1,deep_discount,1m,2.4910530238429454
ICT,SHORT,2020-04-20 10:18:00-04:00,2020-04-20 10:24:00-04:00,8770.2,8787.609558510001,8.872,SL,-154.4576031007231,2.337365584062015,-156.79496868478512,-1.0414145208171273,14898.70654297887,2,equilibrium,1m,1.579238901132661
ICT,LONG,2020-04-30 09:42:00-04:00,2020-04-30 09:51:00-04:00,8969.4,9009.4,6.72,TP,268.8,1.20817536,267.59182464,1.7961790576200556,15166.29836761887,2,equilibrium,1m,1.804288794464535
ICT,SHORT,2020-05-06 03:48:00-04:00,2020-05-06 04:08:00-04:00,8993.7,9003.44174958,13.314,SL,-129.70165390812042,3.594857687078163,-133.29651159519858,-1.0775060716123255,15033.001856023671,1,ote,1m,2.0541451595914233
ICT,SHORT,2020-05-06 04:39:00-04:00,2020-05-06 05:19:00-04:00,8996.4,9008.446799820002,12.964,SL,-156.17471286650567,3.5020033822573304,-159.676716248763,-1.0621341757785174,14873.325139774908,1,ote,1m,2.431789175950988
